C/A,Unit,SCP,Station,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
PTH11,R545,00-00-00,14TH STREET,1,PTH,01/01/2016,22:44:58,REGULAR,907416,42906
PTH11,R545,00-00-00,14TH STREET,1,PTH,01/01/2016,18:32:58,REGULAR,907328,42903
PTH11,R545,00-00-00,14TH STREET,1,PTH,01/01/2016,14:20:58,REGULAR,907199,42901
PTH11,R545,00-00-00,14TH STREET,1,PTH,01/01/2016,10:08:58,REGULAR,907146,42897
PTH11,R545,00-00-00,14TH STREET,1,PTH,01/01/2016,05:56:58,REGULAR,907131,42893
PTH11,R545,00-00-00,14TH STREET,1,PTH,01/01/2016,01:44:58,REGULAR,906939,42873
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/31/2015,21:32:58,REGULAR,906799,42871
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/31/2015,17:20:58,REGULAR,906512,42857
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/31/2015,13:08:58,REGULAR,906242,42846
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/31/2015,08:56:58,REGULAR,906152,42842
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/31/2015,04:44:58,REGULAR,906075,42839
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/31/2015,00:32:58,REGULAR,906001,42831
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/30/2015,20:20:58,REGULAR,905568,42816
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/30/2015,16:08:58,REGULAR,904968,42801
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/30/2015,11:56:58,REGULAR,904800,42790
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/30/2015,07:30:58,REGULAR,904693,42784
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/30/2015,03:18:58,REGULAR,904674,42779
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/29/2015,23:06:58,REGULAR,904634,42777
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/29/2015,18:54:58,REGULAR,904335,42762
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/29/2015,14:42:58,REGULAR,903917,42747
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/29/2015,10:30:58,REGULAR,903859,42740
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/29/2015,06:18:58,REGULAR,903783,42734
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/29/2015,02:06:58,REGULAR,903778,42730
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/28/2015,21:54:58,REGULAR,903728,42712
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/28/2015,17:42:58,REGULAR,903414,42697
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/28/2015,13:30:58,REGULAR,903130,42684
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/28/2015,09:18:58,REGULAR,903084,42673
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/28/2015,05:06:58,REGULAR,903032,42670
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/28/2015,00:54:58,REGULAR,903022,42661
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/27/2015,20:42:58,REGULAR,902961,42651
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/27/2015,16:30:58,REGULAR,902768,42634
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/27/2015,12:18:58,REGULAR,902686,42628
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/27/2015,08:06:58,REGULAR,902667,42625
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/27/2015,03:54:58,REGULAR,902660,42625
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/26/2015,23:42:58,REGULAR,902621,42621
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/26/2015,19:30:58,REGULAR,902519,42617
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/26/2015,15:18:58,REGULAR,902344,42608
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/26/2015,11:06:58,REGULAR,902284,42605
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/26/2015,06:54:58,REGULAR,902274,42604
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/26/2015,02:42:58,REGULAR,902268,42603
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/25/2015,22:30:58,REGULAR,902246,42597
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/25/2015,22:30:58,REGULAR,902246,42597
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/25/2015,18:18:58,REGULAR,902211,42581
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/25/2015,18:18:58,REGULAR,902211,42581
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/25/2015,14:06:58,REGULAR,902149,42575
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/25/2015,14:06:58,REGULAR,902149,42575
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/25/2015,09:54:58,REGULAR,902120,42572
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/25/2015,09:54:58,REGULAR,902120,42572
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/25/2015,05:42:58,REGULAR,902114,42571
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/25/2015,05:42:58,REGULAR,902114,42571
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/25/2015,01:30:58,REGULAR,902107,42568
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/25/2015,01:30:58,REGULAR,902107,42568
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/24/2015,21:18:58,REGULAR,902040,42564
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/24/2015,21:18:58,REGULAR,902040,42564
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/24/2015,17:06:58,REGULAR,901869,42550
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/24/2015,17:06:58,REGULAR,901869,42550
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/24/2015,12:54:58,REGULAR,901607,42533
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/24/2015,12:54:58,REGULAR,901607,42533
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/24/2015,08:42:58,REGULAR,901533,42531
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/24/2015,08:42:58,REGULAR,901533,42531
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/24/2015,04:16:58,REGULAR,901494,42528
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/24/2015,04:16:58,REGULAR,901494,42528
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/24/2015,00:04:58,REGULAR,901482,42524
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/24/2015,00:04:58,REGULAR,901482,42524
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/23/2015,19:52:58,REGULAR,901345,42517
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/23/2015,19:52:58,REGULAR,901345,42517
PTH11,R545,00-00-00,14TH STREET,1,PTH,12/23/2015,15:40:58,REGULAR,900828,42497
